PostIndex,TrueLabels,PredictedLabels,Precision,Recall,F1
1,"['Medical', 'Pregnancy', 'Sexual']","['Mental Health', 'Pregnancy']",0.5,0.333,0.4
2,"['Medical', 'Mental Health', 'Pregnancy']","['Medical', 'Mental Health', 'Pregnancy']",1.0,1.0,1.0
3,"['Discrimination', 'Pregnancy']",['Not Applicable'],0.0,0.0,0.0
4,"['Medical', 'Pregnancy']","['Medical', 'Pregnancy']",1.0,1.0,1.0
5,"['Mental Health', 'Pregnancy']","['Medical', 'Mental Health', 'Pregnancy']",0.667,1.0,0.8
6,"['Pregnancy', 'Sexual']",['Pregnancy'],1.0,0.5,0.667
7,"['Mental Health', 'Pregnancy']","['Medical', 'Mental Health', 'Pregnancy']",0.667,1.0,0.8
8,"['Medical', 'Pregnancy']",['Pregnancy'],1.0,0.5,0.667
9,"['Abuse', 'Discrimination', 'Mental Health', 'Pregnancy']","['Discrimination', 'Mental Health', 'Pregnancy']",1.0,0.75,0.857
10,"['Mental Health', 'Pregnancy']","['Mental Health', 'Pregnancy']",1.0,1.0,1.0
11,"['Medical', 'Pregnancy']","['Medical', 'Pregnancy']",1.0,1.0,1.0
12,"['Medical', 'Pregnancy']","['Medical', 'Pregnancy']",1.0,1.0,1.0
13,"['Abuse', 'Mental Health', 'Pregnancy']","['Mental Health', 'Pregnancy']",1.0,0.667,0.8
14,['Pregnancy'],['Pregnancy'],1.0,1.0,1.0
15,"['Medical', 'Pregnancy']","['Medical', 'Pregnancy']",1.0,1.0,1.0
16,"['Medical', 'Mental Health', 'Pregnancy']","['Mental Health', 'Pregnancy']",1.0,0.667,0.8
17,"['Medical', 'Pregnancy']","['Medical', 'Mental Health', 'Pregnancy']",0.667,1.0,0.8
18,"['Medical', 'Pregnancy']","['Medical', 'Pregnancy']",1.0,1.0,1.0
19,"['Mental Health', 'Pregnancy']","['Mental Health', 'Pregnancy']",1.0,1.0,1.0
20,['Pregnancy'],['Pregnancy'],1.0,1.0,1.0
21,"['Mental Health', 'Pregnancy']","['Mental Health', 'Pregnancy']",1.0,1.0,1.0
22,"['Medical', 'Pregnancy']","['Medical', 'Pregnancy']",1.0,1.0,1.0
